crID	cat	trf	maxnet	new_purity	new_recovered	new_n_big	new_assigned	new_n_alleles	cur_purity	cur_recovered	cur_n_big	cur_assigned	cur_n_alleles
1131	hom	True	4726	1.0	True	1	0.5882352941176471	1	1.0	True	1	1.0	1
1134	het	True	3145	1.0	True	2	1.0	2	1.0	True	2	1.0	2
1135	het	True	48	1.0	True	2	0.8095238095238095	2	0.8095238095238095	True	2	1.0	2
1136	hom	True	636	1.0	True	2	1.0	1	1.0	True	1	1.0	1
1137	het	True	38	1.0	True	2	1.0	2	0.7	False	1	1.0	2
1138	hom	True	414	1.0	True	2	1.0	1	1.0	True	2	1.0	1
1139	hom	True	43	1.0	True	1	0.8333333333333334	1	1.0	True	1	1.0	1
1141	hom	True	41	1.0	True	2	1.0	1	1.0	True	1	1.0	1
1142	het	True	39	1.0	True	2	1.0	2	0.972972972972973	True	2	1.0	2
1143	hom	True	316	1.0	True	1	0.5555555555555556	1	1.0	True	1	1.0	1
1144	hom	True	478	1.0	True	2	0.9230769230769231	1	1.0	True	1	1.0	1
1149	cpx_het	True	125	1.0	False	1	1.0	2	1.0	False	1	1.0	2
1150	het	True	45	1.0	False	1	1.0	2	1.0	False	1	1.0	2
1151	het	False	42	1.0	True	2	1.0	2	1.0	True	2	1.0	2
1154	cpx_het	True	668	1.0	True	2	1.0	2	0.9615384615384616	True	2	1.0	2
1155	het	False	325	1.0	True	2	1.0	2	1.0	True	2	1.0	2
1156	hom	True	189	1.0	True	3	0.8571428571428571	1	1.0	True	2	1.0	1
1158	hom	True	95	1.0	True	2	1.0	1	1.0	True	1	1.0	1
1159	ref	False	0	1.0	True	1	1.0	1	1.0	True	2	1.0	1
1162	ref	True	0	1.0	True	2	1.0	1	1.0	True	1	1.0	1
1165	cpx_het	True	224	1.0	True	2	1.0	2	0.9473684210526315	True	2	1.0	2
1166	cpx_het	True	102	1.0	True	2	1.0	2	0.7	False	1	1.0	2
1167	het	True	104	1.0	True	2	1.0	2	0.9333333333333333	True	2	1.0	2
1168	het	False	315	1.0	True	2	1.0	2	0.9523809523809523	True	2	1.0	2
1169	het	True	31	1.0	True	2	1.0	2	0.5	False	1	1.0	2
1170	hom	False	41	1.0	True	2	1.0	1	1.0	True	1	1.0	1
1171	hom	True	282	1.0	True	2	1.0	1	1.0	True	1	1.0	1
1172	het	False	338	1.0	True	2	1.0	2	1.0	True	2	1.0	2
1173	hom	True	4269	1.0	True	2	1.0	1	1.0	True	1	1.0	1
1174	cpx_het	True	38	1.0	True	2	1.0	2	1.0	True	2	1.0	2
1175	het	True	30	1.0	True	2	1.0	2	0.9473684210526315	True	2	1.0	2
1176	het	False	2656	1.0	True	2	1.0	2	0.95	True	2	1.0	2
1177	cpx_het	True	166	1.0	True	2	1.0	2	0.55	False	1	1.0	2
1179	hom	False	64	1.0	True	1	1.0	1	1.0	True	1	1.0	1
1185	het	True	36	1.0	True	2	1.0	2	1.0	True	2	1.0	2
1187	ref	True	0	1.0	True	1	1.0	1	1.0	True	1	1.0	1
1188	hom	True	32	1.0	True	2	1.0	1	1.0	True	2	1.0	1
